    0.693492     0.800081     0.703009     0.385931     0.178579     0.255336     0.669022     0.904439     0.945133     0.860028     0.526496     0.177790     0.073221     0.061720     0.090357     0.142049     0.180179     0.167753     0.117032     0.078019     0.065130     0.073375     0.116699     0.191213     0.231505     0.197941     0.126514     0.089061     0.083701     0.107065     0.205672     0.501919     0.762302     0.846692     0.842692     0.774931     0.660607     0.475724     0.261225     0.117404     0.072493     0.080464     0.187772     0.592832     0.900643     0.971184     0.945034     0.758109     0.278217     0.104499     0.082309     0.104991     0.139693     0.177665     0.275378     0.532904     0.761439     0.832103     0.792549     0.625427     0.341093     0.160883     0.146728     0.352787
    0.287858     0.342310     0.276447     0.160527     0.124999     0.262463     0.706032     0.908166     0.909289     0.733600     0.312250     0.105082     0.073870     0.131232     0.283919     0.491802     0.609821     0.545547     0.326059     0.142246     0.086184     0.129953     0.324701     0.597700     0.690274     0.560845     0.279961     0.138893     0.117102     0.132707     0.160204     0.237618     0.374824     0.551378     0.728337     0.852535     0.889602     0.835214     0.611553     0.231678     0.095783     0.083305     0.185917     0.586647     0.894848     0.963487     0.930062     0.723968     0.257484     0.100085     0.095565     0.167988     0.275943     0.349669     0.446990     0.686018     0.863505     0.931171     0.940088     0.890553     0.723901     0.386251     0.174759     0.178392
    0.126414     0.131125     0.113697     0.089480     0.095449     0.192308     0.504041     0.728016     0.702173     0.444615     0.175191     0.098938     0.145937     0.365952     0.700507     0.865712     0.913513     0.877532     0.697261     0.327212     0.170784     0.275552     0.661240     0.880214     0.918741     0.825717     0.521937     0.272490     0.260319     0.297432     0.253917     0.164619     0.133230     0.181882     0.365083     0.702477     0.891510     0.918495     0.772530     0.326251     0.121341     0.085556     0.144700     0.400498     0.730989     0.820629     0.744938     0.460349     0.163507     0.094320     0.161709     0.389007     0.602713     0.579181     0.442905     0.508046     0.693130     0.838071     0.920862     0.941828     0.882114     0.627372     0.245713     0.131075
    0.096646     0.099934     0.110101     0.113004     0.114181     0.137093     0.215667     0.288138     0.268441     0.179139     0.118047     0.133965     0.270118     0.628163     0.870427     0.945109     0.962986     0.947488     0.848114     0.534264     0.296932     0.430552     0.800111     0.934348     0.939517     0.846884     0.594664     0.427024     0.572174     0.700050     0.599310     0.291861     0.108548     0.071891     0.137256     0.374355     0.706041     0.816371     0.692446     0.306321     0.134689     0.108672     0.138918     0.230609     0.351411     0.364299     0.279831     0.159478     0.085725     0.109702     0.307710     0.680917     0.802132     0.622031     0.262938     0.174272     0.245946     0.448836     0.704000     0.833825     0.830967     0.621333     0.253532     0.122339
    0.107936     0.159177     0.258431     0.313810     0.298925     0.236526     0.166273     0.129722     0.113786     0.107256     0.127595     0.190345     0.334935     0.613362     0.779693     0.833640     0.856188     0.857617     0.782497     0.525817     0.314913     0.413126     0.713927     0.829345     0.798166     0.632405     0.380675     0.355523     0.645247     0.849871     0.829611     0.563262     0.215743     0.090599     0.082331     0.155043     0.310400     0.423126     0.360086     0.206180     0.169895     0.237881     0.309942     0.333439     0.279300     0.172132     0.102874     0.067492     0.069614     0.172885     0.536395     0.836970     0.854454     0.576781     0.160984     0.059133     0.064748     0.126981     0.253746     0.411794     0.472342     0.341408     0.171294     0.108868
    0.147188     0.339864     0.668885     0.794980     0.779370     0.632468     0.337659     0.142000     0.095596     0.117551     0.197991     0.284876     0.302643     0.311674     0.322311     0.338357     0.381252     0.431648     0.413010     0.290471     0.201893     0.229349     0.349310     0.409857     0.351949     0.235368     0.151392     0.189254     0.451725     0.771592     0.864618     0.775205     0.501499     0.272661     0.178028     0.143631     0.150656     0.171916     0.165796     0.168102     0.296854     0.609816     0.766875     0.757155     0.571886     0.249822     0.096016     0.061037     0.096604     0.304507     0.745513     0.911701     0.880165     0.586713     0.146140     0.040317     0.030998     0.049460     0.089864     0.145669     0.178700     0.153323     0.111493     0.101038
    0.177132     0.478448     0.845756     0.946048     0.948435     0.877049     0.621266     0.229950     0.125054     0.183405     0.396794     0.520608     0.362212     0.167965     0.097151     0.083492     0.100151     0.138035     0.172504     0.168097     0.142371     0.134578     0.149253     0.158207     0.148323     0.122769     0.096905     0.104948     0.209397     0.465582     0.711795     0.813356     0.796585     0.711153     0.562579     0.345037     0.176505     0.121734     0.115923     0.166727     0.400980     0.802485     0.931639     0.935156     0.827481     0.470529     0.158023     0.088455     0.158296     0.503336     0.865596     0.952786     0.917764     0.683492     0.196214     0.058294     0.041245     0.058124     0.094923     0.136844     0.158125     0.141221     0.109632     0.103208
    0.162182     0.422262     0.817177     0.945950     0.968396     0.931034     0.738998     0.295547     0.162750     0.284064     0.661837     0.773107     0.538783     0.171344     0.053172     0.033028     0.050912     0.102352     0.175072     0.203160     0.158424     0.118267     0.107337     0.126599     0.183904     0.218435     0.177903     0.111701     0.101134     0.169654     0.339921     0.622492     0.828702     0.891112     0.853039     0.655014     0.280586     0.131911     0.103935     0.146002     0.355722     0.767228     0.924341     0.951298     0.889047     0.604408     0.216231     0.120016     0.214535     0.630989     0.911220     0.971362     0.948171     0.778088     0.282527     0.097516     0.080616     0.145006     0.273626     0.385854     0.415997     0.340921     0.211268     0.126438
    0.133765     0.254892     0.606709     0.833975     0.898710     0.860821     0.645657     0.259724     0.163341     0.324594     0.758693     0.874092     0.714607     0.283348     0.093537     0.064643     0.115185     0.250612     0.423795     0.447213     0.264554     0.140803     0.119882     0.203588     0.458057     0.615797     0.507668     0.234453     0.093986     0.071940     0.121599     0.302327     0.665533     0.870671     0.886893     0.713213     0.304261     0.133146     0.097839     0.116203     0.222834     0.511491     0.740287     0.810029     0.751210     0.479298     0.191124     0.120036     0.202909     0.566653     0.866845     0.947609     0.935781     0.785924     0.330354     0.137858     0.158153     0.391311     0.719177     0.845843     0.860063     0.780806     0.523321     0.205322
    0.126677     0.140741     0.294514     0.519230     0.625673     0.557060     0.336186     0.153768     0.125833     0.275446     0.713331     0.886732     0.837168     0.565203     0.304255     0.267147     0.416392     0.679773     0.819970     0.768465     0.422753     0.172373     0.141915     0.312137     0.741496     0.888544     0.816464     0.459890     0.133101     0.053246     0.056213     0.132775     0.381897     0.696082     0.731541     0.507974     0.212185     0.116356     0.113138     0.137044     0.169407     0.231122     0.295015     0.330197     0.303940     0.204130     0.117804     0.094037     0.133685     0.318226     0.628318     0.779834     0.780931     0.604281     0.256300     0.139587     0.217842     0.593659     0.892282     0.969649     0.976893     0.935804     0.751390     0.297657
